name,city,country_iso,code,lat,longit,alt
Málaga Airport,Malaga,ES,AGP,36.67490005493164,-4.499110221862793,53
Menorca Airport,Menorca,ES,MAH,39.86259841918945,4.218649864196777,302
Moron Air Base,Sevilla,ES,OZP,37.17490005493164,-5.615940093994141,285
Pamplona Airport,Pamplona,ES,PNA,42.77000045776367,-1.6463299989700315,1504
Reus Air Base,Reus,ES,REU,41.14739990234375,1.1671700477600098,233
Rota Naval Station Airport,Rota,ES,ROZ,36.645198822,-6.34946012497,86
Salamanca Airport,Salamanca,ES,SLM,40.95209884643555,-5.501989841461182,2595
San Sebastian Airport,San Sebastian,ES,EAS,43.35649871826172,-1.7906099557876587,16
Santiago de Compostela Airport,Santiago,ES,SCQ,42.89630126953125,-8.415140151977539,1213
Pirineus - la Seu d'Urgel Airport,Seo De Urgel,ES,LEU,42.3386,1.40917,2625
Torrejón Airport,Madrid,ES,TOJ,40.496700286865234,-3.4458699226379395,2026
Valencia Airport,Valencia,ES,VLC,39.4893,-0.481625,240
Valladolid Airport,Valladolid,ES,VLL,41.7061004639,-4.85194015503,2776
Vitoria/Foronda Airport,Vitoria,ES,VIT,42.8828010559082,-2.7244699001312256,1682
Vigo Airport,Vigo,ES,VGO,42.2318000793457,-8.62677001953125,856
Santander Airport,Santander,ES,SDR,43.42710113525391,-3.82000994682312,16
Zaragoza Air Base,Zaragoza,ES,ZAZ,41.66619873046875,-1.0415500402450562,863
Sevilla Airport,Sevilla,ES,SVQ,37.417999267578125,-5.8931097984313965,112
Calais-Dunkerque Airport,Calais,FR,CQF,50.962100982666016,1.954759955406189,12
Albert-Bray Airport,Albert,FR,BYF,49.9715003967,2.69765996933,364
Le Touquet-Côte d'Opale Airport,Le Tourquet,FR,LTQ,50.51739883422852,1.6205899715423584,36
Valenciennes-Denain Airport,Valenciennes,FR,XVS,50.325801849365234,3.4612600803375244,177
Agen-La Garenne Airport,Agen,FR,AGF,44.17470169067383,0.5905560255050659,204
Bordeaux-Mérignac Airport,Bordeaux,FR,BOD,44.8283004761,-0.715556025505,162
Bergerac-Roumanière Airport,Bergerac,FR,EGC,44.82529830932617,0.5186110138893127,171
Cognac-Châteaubernard (BA 709) Air Base,Cognac,FR,CNG,45.65829849243164,-0.3174999952316284,102
Poitiers-Biard Airport,Poitiers,FR,PIS,46.58769989013672,0.3066659867763519,423
Montluçon-Guéret Airport,Montlucon-gueret,FR,MCU,46.222599029541016,2.363960027694702,1497
Limoges Airport,Limoges,FR,LIG,45.86280059814453,1.1794400215148926,1300
Niort-Souché Airport,Niort,FR,NIT,46.313477,-0.394529,203
Toulouse-Blagnac Airport,Toulouse,FR,TLS,43.629101,1.36382,499
Pau Pyrénées Airport,Pau,FR,PUF,43.380001068115234,-0.4186109900474548,616
Tarbes-Lourdes-Pyrénées Airport,Tarbes,FR,LDE,43.1786994934082,-0.0064389999024569,1260
Angoulême-Brie-Champniers Airport,Angouleme,FR,ANG,45.72919845581055,0.2214560061693191,436
Brive Souillac Airport,Brive,FR,BVE,45.039722,1.485556,1016
Périgueux-Bassillac Airport,Perigueux,FR,PGX,45.19810104370117,0.815555989742279,328
Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,FR,BIQ,43.4683333,-1.5311111,245
Cahors-Lalbenque Airport,Cahors,FR,ZAO,44.35139846801758,1.4752800464630127,912
Albi-Le Séquestre Airport,Albi,FR,LBI,43.91389846801758,2.1130599975585938,564
Castres-Mazamet Airport,Castres,FR,DCM,43.55630111694336,2.289180040359497,788
Rodez-Marcillac Airport,Rodez,FR,RDZ,44.407901763916016,2.4826700687408447,1910
Royan-Médis Airport,Royan,FR,RYN,45.62810134887695,-0.9725000262260436,72
